"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_getbyid_success","Muscles","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestMuscleServiceWithoutMock","muscle_test","",""
"","0","test_getbyid_failure","Trainer","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainerServiceWithoutMock","trainer_test","",""
"","0","test_getbyid_failure","Muscles","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestMuscleServiceWithoutMock","muscle_test","",""
"","0","test_gettrainers_failure","Trainer","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainerServiceWithoutMock","trainer_test","",""
"","1","test_getbyid_failure","Trainer","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainerServiceWithMock","trainer_test","",""
"","0","test_getbyname_success","Exercise","Fri Oct 18 21:40:21 MSK 2024","passed","Fri Oct 18 21:40:21 MSK 2024","TestExerciseServiceWithoutMock","exercise_test","",""
"","1","test_getbyid_success","Trainer","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainerServiceWithMock","trainer_test","",""
"","0","test_getbyid_success","Exercise","Fri Oct 18 21:40:21 MSK 2024","passed","Fri Oct 18 21:40:21 MSK 2024","TestExerciseServiceWithMock","exercise_test","",""
"","0","test_getbyid_success","Train","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainServiceWithoutMock","train_test","",""
"","1","test_getbyname_failure","Exercise","Fri Oct 18 21:40:21 MSK 2024","passed","Fri Oct 18 21:40:21 MSK 2024","TestExerciseServiceWithoutMock","exercise_test","",""
"","0","test_getbyname_failure","Exercise","Fri Oct 18 21:40:21 MSK 2024","passed","Fri Oct 18 21:40:21 MSK 2024","TestExerciseServiceWithMock","exercise_test","",""
"","0","test_getbyid_failure","Gym","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestGymServiceWithoutMock","gym_test","",""
"","0","test_getbyid_failure","Gym","Fri Oct 18 21:40:21 MSK 2024","passed","Fri Oct 18 21:40:21 MSK 2024","TestGymServiceWithMock","gym_test","",""
"","0","test_list_failure","Gym","Fri Oct 18 21:40:21 MSK 2024","passed","Fri Oct 18 21:40:21 MSK 2024","TestGymServiceWithMock","gym_test","",""
"","0","test_list_failure","Gym","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestGymServiceWithoutMock","gym_test","",""
"","1","test_getlistofmuscles_failure","Muscles","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestMuscleServiceWithMock","muscle_test","",""
"","0","test_getbyid_success","Exercise","Fri Oct 18 21:40:21 MSK 2024","passed","Fri Oct 18 21:40:21 MSK 2024","TestExerciseServiceWithoutMock","exercise_test","",""
"","1","test_getbyid_failure","Exercise","Fri Oct 18 21:40:21 MSK 2024","passed","Fri Oct 18 21:40:21 MSK 2024","TestExerciseServiceWithoutMock","exercise_test","",""
"","0","test_list_success","Gym","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestGymServiceWithoutMock","gym_test","",""
"","1","test_getbyid_failure","Exercise","Fri Oct 18 21:40:21 MSK 2024","passed","Fri Oct 18 21:40:21 MSK 2024","TestExerciseServiceWithMock","exercise_test","",""
"","1","test_gettrainers_failure","Trainer","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainerServiceWithMock","trainer_test","",""
"","0","test_getlistofmuscles_success","Muscles","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestMuscleServiceWithMock","muscle_test","",""
"","1","test_getbyid_success","Gym","Fri Oct 18 21:40:21 MSK 2024","passed","Fri Oct 18 21:40:21 MSK 2024","TestGymServiceWithMock","gym_test","",""
"","1","test_getlistofmuscles_failure","Muscles","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestMuscleServiceWithoutMock","muscle_test","",""
"","1","test_list_success","Gym","Fri Oct 18 21:40:21 MSK 2024","passed","Fri Oct 18 21:40:21 MSK 2024","TestGymServiceWithMock","gym_test","",""
"","0","test_gettrainers_success","Trainer","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainerServiceWithoutMock","trainer_test","",""
"","1","test_getlistoftrains_failure","Train","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainServiceWithMock","train_test","",""
"","1","test_getbyid_success","Train","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainServiceWithMock","train_test","",""
"","0","test_getlistoftrains_success","Train","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainServiceWithoutMock","train_test","",""
"","0","test_getbyid_success","Gym","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestGymServiceWithoutMock","gym_test","",""
"","0","test_getbyid_failure","Train","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainServiceWithMock","train_test","",""
"","0","test_getbyid_success","Trainer","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainerServiceWithoutMock","trainer_test","",""
"","1","test_getbyid_failure","Train","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainServiceWithoutMock","train_test","",""
"","1","test_gettrainers_success","Trainer","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainerServiceWithMock","trainer_test","",""
"","0","test_getbyid_failure","Muscles","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestMuscleServiceWithMock","muscle_test","",""
"","2","test_register_failure","User","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestUserServiceWithMock","user_test","",""
"","1","test_getbyid_success","Muscles","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestMuscleServiceWithMock","muscle_test","",""
"","1","test_login_user_not_found","User","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestUserServiceWithMock","user_test","",""
"","0","test_getlistoftrains_success","Train","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainServiceWithMock","train_test","",""
"","0","test_getlistofmuscles_success","Muscles","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestMuscleServiceWithoutMock","muscle_test","",""
"","0","test_login_user_not_found","User","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestUserServiceWithoutMock","user_test","",""
"","1","test_login_repo_error","User","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestUserServiceWithMock","user_test","",""
"","0","test_getbyname_success","Exercise","Fri Oct 18 21:40:21 MSK 2024","passed","Fri Oct 18 21:40:21 MSK 2024","TestExerciseServiceWithMock","exercise_test","",""
"","0","test_getlistoftrains_failure","Train","Fri Oct 18 21:40:22 MSK 2024","passed","Fri Oct 18 21:40:22 MSK 2024","TestTrainServiceWithoutMock","train_test","",""
